"City","Rank","Pop","Year","Zip","Lat","Long","State","County"
"Boston","1.","4.5",1680,2101,42.370567,-71.026964,"MA","Suffolk"
"New York","2.","3.0",1680,10001,40.750422,-73.996328,"NY","New York"
"Newport","3.","2.5",1680,2840,41.487552,-71.327084,"RI","Newport"
"Charleston","4.","0.7",1680,4422,45.066999,-69.040695,"ME","Penobscot"
"Boston","1.","6.7",1700,2101,42.370567,-71.026964,"MA","Suffolk"
"New York","2.","5.0",1700,10001,40.750422,-73.996328,"NY","New York"
"Philadelphia","3.","5.0",1700,13673,44.116323,-75.719346,"NY","Jefferson"
"Newport","4.","2.6",1700,2840,41.487552,-71.327084,"RI","Newport"
"Boston","1.","12",1720,2101,42.370567,-71.026964,"MA","Suffolk"
"Philadelphia","2.","10",1720,13673,44.116323,-75.719346,"NY","Jefferson"
"New York","3.","7",1720,10001,40.750422,-73.996328,"NY","New York"
"Newport","4.","3.8",1720,2840,41.487552,-71.327084,"RI","Newport"
"Boston","1.","16.4",1740,2101,42.370567,-71.026964,"MA","Suffolk"
"Philadelphia","2.","13.0",1740,13673,44.116323,-75.719346,"NY","Jefferson"
"New York","3.","11.0",1740,10001,40.750422,-73.996328,"NY","New York"
"Charleston","4.","6.8",1740,4422,45.066999,-69.040695,"ME","Penobscot"
"Philadelphia","1.","23.8",1740,13673,44.116323,-75.719346,"NY","Jefferson"
"New York","2.","18.0",1740,10001,40.750422,-73.996328,"NY","New York"
"Boston","3.","15.6",1740,2101,42.370567,-71.026964,"MA","Suffolk"
"Charleston","4.","8.0",1740,4422,45.066999,-69.040695,"ME","Penobscot"
"Philadelphia","1.","40",1775,13673,44.116323,-75.719346,"NY","Jefferson"
"New York","2.","25",1775,10001,40.750422,-73.996328,"NY","New York"
"Boston","3.","16",1775,2101,42.370567,-71.026964,"MA","Suffolk"
"Charleston","4.","12",1775,4422,45.066999,-69.040695,"ME","Penobscot"
"Philadelphia","1.","44.1",1790,13673,44.116323,-75.719346,"NY","Jefferson"
"New York","2.","33.1",1790,10001,40.750422,-73.996328,"NY","New York"
"Boston","3.","18.3",1790,2101,42.370567,-71.026964,"MA","Suffolk"
"Charleston","4.","16.4",1790,4422,45.066999,-69.040695,"ME","Penobscot"
"Salem","5.","13.6",1790,1970,42.512946,-70.904237,"MA","Essex"
"Baltimore","6.","13.5",1790,21201,39.296536,-76.623489,"MD","Baltimore City"
"Newport","7.","6.7",1790,2840,41.487552,-71.327084,"RI","Newport"
"Providence","8.","6.4",1790,2901,41.82275,-71.414451,"RI","Providence"
"Gloucester","9.","5.3",1790,1930,42.630011,-70.694179,"MA","Essex"
"Newburyport","10.","4.8",1790,1950,42.80965,-70.873196,"MA","Essex"
"Portsmouth","11.","4.7",1790,2871,41.58523,-71.264197,"RI","Newport"
"Nantucket","12.","4.6",1790,2554,41.287647,-70.08665,"MA","Nantucket"
"Middleborough","13.","4.5",1790,NA,NA,NA,NA,NA
"New Haven","14.","4.5",1790,5472,44.149509,-73.197156,"VT","Addison"
"Richmond","15.","3.8",1790,1254,42.233105,-73.238358,"MA","Berkshire"
"Albany","16.","3.5",1790,5820,44.741679,-72.364639,"VT","Orleans"
"Norfolk","17.","3.0",1790,2056,42.117511,-71.331793,"MA","Norfolk"
"Petersburg","18.","2.8",1790,12138,42.685947,-73.390627,"NY","Rensselaer"
"Alexandria","19.","2.8",1790,16611,40.54851,-78.095064,"PA","Huntingdon"
"Hartford","20.","2.7",1790,5047,43.672103,-72.355539,"VT","Windsor"
"Philadelphia","1.","61.6",1800,13673,44.116323,-75.719346,"NY","Jefferson"
"New York","2.","60.5",1800,10001,40.750422,-73.996328,"NY","New York"
"Baltimore","3.","26.5",1800,21201,39.296536,-76.623489,"MD","Baltimore City"
"Boston","4.","24.9",1800,2101,42.370567,-71.026964,"MA","Suffolk"
"Charleston","5.","18.8",1800,4422,45.066999,-69.040695,"ME","Penobscot"
"Salem","6.","14.7",1800,1970,42.512946,-70.904237,"MA","Essex"
"Washington","7.","11.2",1800,3280,43.17229,-72.100689,"NH","Sullivan"
"Providence","8.","7.6",1800,2901,41.82275,-71.414451,"RI","Providence"
"Norfolk","9.","6.9",1800,2056,42.117511,-71.331793,"MA","Norfolk"
"Newport","10.","6.7",1800,2840,41.487552,-71.327084,"RI","Newport"
"Newburyport","11.","6.0",1800,1950,42.80965,-70.873196,"MA","Essex"
"Richmond","12.","5.7",1800,1254,42.233105,-73.238358,"MA","Berkshire"
"Nantucket","13.","5.6",1800,2554,41.287647,-70.08665,"MA","Nantucket"
"Portsmouth","14.","5.3",1800,2871,41.58523,-71.264197,"RI","Newport"
"Gloucester","15.","5.3",1800,1930,42.630011,-70.694179,"MA","Essex"
"Schenectady","16.","5.3",1800,12301,42.833261,-74.058015,"NY","Schenectady"
"Albany","17.","5.3",1800,5820,44.741679,-72.364639,"VT","Orleans"
"New London","18.","5.2",1800,3257,43.301663,-71.733643,"NH","Merrimack"
"Savannah","19.","5.2",1800,13146,43.099386,-76.762705,"NY","Wayne"
"Middleborough","20.","4.5",1800,NA,NA,NA,NA,NA
"New York","1.","101",1810,10001,40.750422,-73.996328,"NY","New York"
"Philadelphia","2.","87.3",1810,13673,44.116323,-75.719346,"NY","Jefferson"
"Baltimore","3.","46.6",1810,21201,39.296536,-76.623489,"MD","Baltimore City"
"Boston","4.","38.7",1810,2101,42.370567,-71.026964,"MA","Suffolk"
"Charleston","5.","24.7",1810,4422,45.066999,-69.040695,"ME","Penobscot"
"Salem","6.","23.1",1810,1970,42.512946,-70.904237,"MA","Essex"
"Washington","7.","20.4",1810,3280,43.17229,-72.100689,"NH","Sullivan"
"New Orleans","8.","17.2",1810,70112,29.958304,-90.077,"LA","Orleans"
"Albany","9.","10.8",1810,5820,44.741679,-72.364639,"VT","Orleans"
"Providence","10.","10.1",1810,2901,41.82275,-71.414451,"RI","Providence"
"Richmond","11.","9.7",1810,1254,42.233105,-73.238358,"MA","Berkshire"
"Norfolk","12.","9.2",1810,2056,42.117511,-71.331793,"MA","Norfolk"
"Newport","13.","7.9",1810,2840,41.487552,-71.327084,"RI","Newport"
"Newburyport","14.","7.6",1810,1950,42.80965,-70.873196,"MA","Essex"
"Portland","15.","7.2",1810,4101,43.658784,-70.262393,"ME","Cumberland"
"Portsmouth","16.","6.9",1810,2871,41.58523,-71.264197,"RI","Newport"
"Nantucket","17.","6.8",1810,2554,41.287647,-70.08665,"MA","Nantucket"
"Gloucester","18.","5.9",1810,1930,42.630011,-70.694179,"MA","Essex"
"Schenectady","19.","5.9",1810,12301,42.833261,-74.058015,"NY","Schenectady"
"New Haven","20.","5.8",1810,5472,44.149509,-73.197156,"VT","Addison"
"New York","1.","131",1820,10001,40.750422,-73.996328,"NY","New York"
"Philadelphia","2.","109",1820,13673,44.116323,-75.719346,"NY","Jefferson"
"Baltimore","3.","62.7",1820,21201,39.296536,-76.623489,"MD","Baltimore City"
"Boston","4.","54.0",1820,2101,42.370567,-71.026964,"MA","Suffolk"
"Washington","5.","28.8",1820,3280,43.17229,-72.100689,"NH","Sullivan"
"New Orleans","6.","27.2",1820,70112,29.958304,-90.077,"LA","Orleans"
"Charleston","7.","24.8",1820,4422,45.066999,-69.040695,"ME","Penobscot"
"Salem","8.","22.6",1820,1970,42.512946,-70.904237,"MA","Essex"
"Albany","9.","17.9",1820,5820,44.741679,-72.364639,"VT","Orleans"
"Richmond","10.","12.1",1820,1254,42.233105,-73.238358,"MA","Berkshire"
"Providence","11.","11.8",1820,2901,41.82275,-71.414451,"RI","Providence"
"Cincinnati","12.","9.6",1820,45201,39.166759,-84.53822,"OH","Hamilton"
"Portland","13.","8.6",1820,4101,43.658784,-70.262393,"ME","Cumberland"
"Norfolk","14.","8.5",1820,2056,42.117511,-71.331793,"MA","Norfolk"
"Savannah","15.","7.5",1820,13146,43.099386,-76.762705,"NY","Wayne"
"Portsmouth","16.","7.3",1820,2871,41.58523,-71.264197,"RI","Newport"
"Newport","17.","7.3",1820,2840,41.487552,-71.327084,"RI","Newport"
"Nantucket","18.","7.3",1820,2554,41.287647,-70.08665,"MA","Nantucket"
"Pittsburgh","19.","7.3",1820,15201,40.434436,-80.024817,"PA","Allegheny"
"New Haven","20.","7.2",1820,5472,44.149509,-73.197156,"VT","Addison"
"New York","1.","215",1830,10001,40.750422,-73.996328,"NY","New York"
"Philadelphia","2.","161",1830,13673,44.116323,-75.719346,"NY","Jefferson"
"Boston","3.","85.6",1830,2101,42.370567,-71.026964,"MA","Suffolk"
"Baltimore","4.","80.6",1830,21201,39.296536,-76.623489,"MD","Baltimore City"
"New Orleans","5.","46.1",1830,70112,29.958304,-90.077,"LA","Orleans"
"Albany","6.","35.8",1830,5820,44.741679,-72.364639,"VT","Orleans"
"Washington","7.","35.5",1830,3280,43.17229,-72.100689,"NH","Sullivan"
"Charleston","8.","30.3",1830,4422,45.066999,-69.040695,"ME","Penobscot"
"Salem","9.","27.3",1830,1970,42.512946,-70.904237,"MA","Essex"
"Cincinnati","10.","24.8",1830,45201,39.166759,-84.53822,"OH","Hamilton"
"Providence","11.","22.4",1830,2901,41.82275,-71.414451,"RI","Providence"
"Richmond","12.","16.1",1830,1254,42.233105,-73.238358,"MA","Berkshire"
"Pittsburgh","13.","15.4",1830,15201,40.434436,-80.024817,"PA","Allegheny"
"Newark","14.","14.4",1830,7101,40.736101,-74.22509,"NJ","Essex"
"Portland","15.","12.6",1830,4101,43.658784,-70.262393,"ME","Cumberland"
"Louisville","16.","10.3",1830,30434,33.028798,-82.437965,"GA","Jefferson"
"New Haven","17.","10.2",1830,5472,44.149509,-73.197156,"VT","Addison"
"Norfolk","18.","9.8",1830,2056,42.117511,-71.331793,"MA","Norfolk"
"Rochester","19.","9.2",1830,2770,41.751812,-70.846041,"MA","Plymouth"
"Buffalo","20.","8.7",1830,14201,42.929303,-78.832706,"NY","Erie"
"New York","1.","374",1840,10001,40.750422,-73.996328,"NY","New York"
"Philadelphia","2.","259",1840,13673,44.116323,-75.719346,"NY","Jefferson"
"Boston","3.","183",1840,2101,42.370567,-71.026964,"MA","Suffolk"
"Baltimore","4.","110",1840,21201,39.296536,-76.623489,"MD","Baltimore City"
"New Orleans","5.","105",1840,70112,29.958304,-90.077,"LA","Orleans"
"Albany","6.","72.0",1840,5820,44.741679,-72.364639,"VT","Orleans"
"Cincinnati","7.","54.8",1840,45201,39.166759,-84.53822,"OH","Hamilton"
"Washington","8.","50.2",1840,3280,43.17229,-72.100689,"NH","Sullivan"
"Pittsburgh","9.","43.7",1840,15201,40.434436,-80.024817,"PA","Allegheny"
"Charleston","10.","42.6",1840,4422,45.066999,-69.040695,"ME","Penobscot"
"Providence","11.","40.9",1840,2901,41.82275,-71.414451,"RI","Providence"
"Louisville","12.","34.2",1840,30434,33.028798,-82.437965,"GA","Jefferson"
"Rochester","13.","31.4",1840,2770,41.751812,-70.846041,"MA","Plymouth"
"Newark","14.","29.8",1840,7101,40.736101,-74.22509,"NJ","Essex"
"Buffalo","15.","29.3",1840,14201,42.929303,-78.832706,"NY","Erie"
"Portland","16.","28.6",1840,4101,43.658784,-70.262393,"ME","Cumberland"
"St. Louis","17.","28.4",1840,NA,NA,NA,NA,NA
"New Bedford","18.","24.1",1840,2740,41.633416,-70.951045,"MA","Bristol"
"New Haven","19.","21.9",1840,5472,44.149509,-73.197156,"VT","Addison"
"Detroit","20.","21.2",1840,4929,44.761527,-69.322662,"ME","Somerset"
"New York","1.","650",1850,10001,40.750422,-73.996328,"NY","New York"
"Philadelphia","2.","405",1850,13673,44.116323,-75.719346,"NY","Jefferson"
"Boston","3.","308",1850,2101,42.370567,-71.026964,"MA","Suffolk"
"Baltimore","4.","179",1850,21201,39.296536,-76.623489,"MD","Baltimore City"
"Cincinnati","5.","133",1850,45201,39.166759,-84.53822,"OH","Hamilton"
"New Orleans","6.","123",1850,70112,29.958304,-90.077,"LA","Orleans"
"Albany","7.","107",1850,5820,44.741679,-72.364639,"VT","Orleans"
"St. Louis","8.","95",1850,NA,NA,NA,NA,NA
"Pittsburgh","9.","86",1850,15201,40.434436,-80.024817,"PA","Allegheny"
"Buffalo","10.","80",1850,14201,42.929303,-78.832706,"NY","Erie"
"Washington","11.","67",1850,3280,43.17229,-72.100689,"NH","Sullivan"
"Providence","12.","65",1850,2901,41.82275,-71.414451,"RI","Providence"
"Louisville","13.","61",1850,30434,33.028798,-82.437965,"GA","Jefferson"
"Newark","14.","57",1850,7101,40.736101,-74.22509,"NJ","Essex"
"Charleston","15.","50",1850,4422,45.066999,-69.040695,"ME","Penobscot"
"Rochester","16.","49",1850,2770,41.751812,-70.846041,"MA","Plymouth"
"Chicago","17.","40",1850,60601,41.811929,-87.68732,"IL","Cook"
"Syracuse","18.","38",1850,13201,43.02143,-76.197701,"NY","Onondaga"
"Detroit","19.","38",1850,4929,44.761527,-69.322662,"ME","Somerset"
"Portland","20.","36",1850,4101,43.658784,-70.262393,"ME","Cumberland"
"New York","1.","1143",1860,10001,40.750422,-73.996328,"NY","New York"
"Philadelphia","2.","608",1860,13673,44.116323,-75.719346,"NY","Jefferson"
"Boston","3.","374",1860,2101,42.370567,-71.026964,"MA","Suffolk"
"Baltimore","4.","221",1860,21201,39.296536,-76.623489,"MD","Baltimore City"
"Cincinnati","5.","192",1860,45201,39.166759,-84.53822,"OH","Hamilton"
"St. Louis","6.","176",1860,NA,NA,NA,NA,NA
"New Orleans","7.","172",1860,70112,29.958304,-90.077,"LA","Orleans"
"Chicago","8.","123",1860,60601,41.811929,-87.68732,"IL","Cook"
"Albany","9.","116",1860,5820,44.741679,-72.364639,"VT","Orleans"
"Newark","10.","103",1860,7101,40.736101,-74.22509,"NJ","Essex"
"Pittsburgh","11.","93",1860,15201,40.434436,-80.024817,"PA","Allegheny"
"Buffalo","12.","90",1860,14201,42.929303,-78.832706,"NY","Erie"
"Louisville","13.","88",1860,30434,33.028798,-82.437965,"GA","Jefferson"
"Washington","14.","80",1860,3280,43.17229,-72.100689,"NH","Sullivan"
"Providence","15.","69",1860,2901,41.82275,-71.414451,"RI","Providence"
"Detroit","16.","59",1860,4929,44.761527,-69.322662,"ME","Somerset"
"San Francisco","17.","57",1860,94101,37.784827,-122.727802,"CA","San Francisco"
"Rochester","18.","56",1860,2770,41.751812,-70.846041,"MA","Plymouth"
"Cleveland","19.","49",1860,13042,43.27637,-76.225752,"NY","Oswego"
"Milwaukee","20.","48",1860,27854,36.363144,-77.386748,"NC","Northampton"
"New York","1.","1687",1870,10001,40.750422,-73.996328,"NY","New York"
"Philadelphia","2.","747",1870,13673,44.116323,-75.719346,"NY","Jefferson"
"Boston","3.","501",1870,2101,42.370567,-71.026964,"MA","Suffolk"
"St. Louis","4.","345",1870,NA,NA,NA,NA,NA
"Chicago","5.","324",1870,60601,41.811929,-87.68732,"IL","Cook"
"Baltimore","6.","283",1870,21201,39.296536,-76.623489,"MD","Baltimore City"
"Cincinnati","7.","257",1870,45201,39.166759,-84.53822,"OH","Hamilton"
"New Orleans","8.","196",1870,70112,29.958304,-90.077,"LA","Orleans"
"Pittsburgh","9.","170",1870,15201,40.434436,-80.024817,"PA","Allegheny"
"Albany","10.","157",1870,5820,44.741679,-72.364639,"VT","Orleans"
"San Francisco","11.","151",1870,94101,37.784827,-122.727802,"CA","San Francisco"
"Buffalo","12.","133",1870,14201,42.929303,-78.832706,"NY","Erie"
"Louisville","13.","129",1870,30434,33.028798,-82.437965,"GA","Jefferson"
"Washington","14.","123",1870,3280,43.17229,-72.100689,"NH","Sullivan"
"Providence","15.","101",1870,2901,41.82275,-71.414451,"RI","Providence"
"Detroit","16.","101",1870,4929,44.761527,-69.322662,"ME","Somerset"
"Cleveland","17.","101",1870,13042,43.27637,-76.225752,"NY","Oswego"
"Milwaukee","18.","75",1870,27854,36.363144,-77.386748,"NC","Northampton"
"Rochester","19.","73",1870,2770,41.751812,-70.846041,"MA","Plymouth"
"New Haven","20.","65",1870,5472,44.149509,-73.197156,"VT","Addison"
"New York","1.","2234",1880,10001,40.750422,-73.996328,"NY","New York"
"Philadelphia","2.","949",1880,13673,44.116323,-75.719346,"NY","Jefferson"
"Boston","3.","658",1880,2101,42.370567,-71.026964,"MA","Suffolk"
"Chicago","4.","543",1880,60601,41.811929,-87.68732,"IL","Cook"
"St. Louis","5.","386",1880,NA,NA,NA,NA,NA
"Baltimore","6.","353",1880,21201,39.296536,-76.623489,"MD","Baltimore City"
"Cincinnati","7.","307",1880,45201,39.166759,-84.53822,"OH","Hamilton"
"Pittsburgh","8.","265",1880,15201,40.434436,-80.024817,"PA","Allegheny"
"San Francisco","9.","236",1880,94101,37.784827,-122.727802,"CA","San Francisco"
"New Orleans","10.","219",1880,70112,29.958304,-90.077,"LA","Orleans"
"Albany","11.","178",1880,5820,44.741679,-72.364639,"VT","Orleans"
"Buffalo","12.","171",1880,14201,42.929303,-78.832706,"NY","Erie"
"Cleveland","13.","169",1880,13042,43.27637,-76.225752,"NY","Oswego"
"Washington","14.","164",1880,3280,43.17229,-72.100689,"NH","Sullivan"
"Detroit","15.","147",1880,4929,44.761527,-69.322662,"ME","Somerset"
"Louisville","16.","143",1880,30434,33.028798,-82.437965,"GA","Jefferson"
"Providence","17.","128",1880,2901,41.82275,-71.414451,"RI","Providence"
"Milwaukee","18.","121",1880,27854,36.363144,-77.386748,"NC","Northampton"
"Rochester","19.","103",1880,2770,41.751812,-70.846041,"MA","Plymouth"
"Minneapolis","20.","94",1880,28652,36.086466,-81.934265,"NC","Avery"
"New York","1.","2977",1890,10001,40.750422,-73.996328,"NY","New York"
"Philadelphia","2.","1180",1890,13673,44.116323,-75.719346,"NY","Jefferson"
"Chicago","3.","1141",1890,60601,41.811929,-87.68732,"IL","Cook"
"Boston","4.","818",1890,2101,42.370567,-71.026964,"MA","Suffolk"
"St. Louis","5.","490",1890,NA,NA,NA,NA,NA
"Baltimore","6.","453",1890,21201,39.296536,-76.623489,"MD","Baltimore City"
"Pittsburgh","7.","396",1890,15201,40.434436,-80.024817,"PA","Allegheny"
"Cincinnati","8.","344",1890,45201,39.166759,-84.53822,"OH","Hamilton"
"Minneapolis","9.","305",1890,28652,36.086466,-81.934265,"NC","Avery"
"San Francisco","10.","302",1890,94101,37.784827,-122.727802,"CA","San Francisco"
"Cleveland","11.","274",1890,13042,43.27637,-76.225752,"NY","Oswego"
"Buffalo","12.","272",1890,14201,42.929303,-78.832706,"NY","Erie"
"Washington","13.","253",1890,3280,43.17229,-72.100689,"NH","Sullivan"
"New Orleans","14.","245",1890,70112,29.958304,-90.077,"LA","Orleans"
"Detroit","15.","237",1890,4929,44.761527,-69.322662,"ME","Somerset"
"Milwaukee","16.","212",1890,27854,36.363144,-77.386748,"NC","Northampton"
"Albany","17.","189",1890,5820,44.741679,-72.364639,"VT","Orleans"
"Louisville","18.","183",1890,30434,33.028798,-82.437965,"GA","Jefferson"
