"Admit","Gender","Dept"
0,"Male",6
1,"Female",2
0,"Female",4
0,"Female",4
1,"Male",4
1,"Female",2
1,"Male",1
0,"Female",2
0,"Male",4
0,"Female",6
1,"Male",4
0,"Female",6
0,"Female",2
0,"Male",3
0,"Female",3
0,"Male",5
1,"Female",1
0,"Female",1
0,"Female",1
0,"Female",2
1,"Female",5
0,"Female",2
0,"Female",5
1,"Female",1
0,"Female",1
0,"Female",6
0,"Female",6
0,"Male",6
0,"Male",3
0,"Male",4
0,"Female",3
1,"Female",3
1,"Female",4
1,"Male",4
0,"Female",2
0,"Male",6
0,"Female",4
0,"Male",6
1,"Female",2
0,"Female",3
0,"Female",1
1,"Male",1
0,"Female",5
0,"Male",3
1,"Female",2
1,"Female",1
1,"Male",5
1,"Female",1
0,"Male",5
0,"Male",3
1,"Female",4
0,"Male",5
0,"Female",4
1,"Female",4
0,"Male",6
0,"Male",6
0,"Male",3
0,"Male",4
0,"Female",2
0,"Female",5
0,"Male",3
0,"Male",6
1,"Female",5
1,"Male",6
0,"Male",3
0,"Female",1
0,"Female",4
0,"Male",6
0,"Male",6
1,"Female",1
1,"Female",2
0,"Female",1
1,"Female",5
0,"Male",3
0,"Male",6
1,"Female",2
1,"Female",2
1,"Female",1
0,"Female",1
1,"Male",6
1,"Male",4
1,"Male",4
0,"Female",1
1,"Female",1
0,"Male",3
1,"Female",1
0,"Male",3
0,"Male",1
0,"Male",4
0,"Female",1
1,"Female",1
1,"Female",1
0,"Female",3
0,"Male",3
0,"Male",3
0,"Female",3
1,"Male",3
1,"Male",1
1,"Male",5
0,"Female",4
0,"Male",4
0,"Male",6
0,"Male",5
1,"Female",1
1,"Female",2
1,"Female",4
0,"Female",2
0,"Male",6
0,"Female",6
0,"Male",3
0,"Male",3
1,"Male",5
0,"Male",3
0,"Female",2
0,"Female",3
0,"Female",6
0,"Female",2
0,"Male",5
0,"Female",6
0,"Male",3
0,"Male",3
0,"Male",5
0,"Male",4
1,"Male",3
0,"Female",4
1,"Female",3
0,"Female",2
0,"Female",1
0,"Female",1
0,"Female",6
0,"Female",3
0,"Female",1
1,"Male",5
0,"Male",5
0,"Male",6
1,"Male",1
1,"Male",3
0,"Female",6
0,"Male",3
1,"Female",3
0,"Male",4
0,"Male",5
1,"Female",4
0,"Male",5
1,"Male",3
1,"Female",3
0,"Female",6
0,"Female",2
0,"Male",3
0,"Male",3
0,"Female",3
0,"Male",5
0,"Male",3
0,"Male",6
0,"Male",5
0,"Male",6
0,"Female",1
0,"Male",3
0,"Male",5
0,"Female",2
0,"Male",6
0,"Male",3
1,"Female",3
0,"Female",3
1,"Male",5
1,"Male",3
0,"Female",6
0,"Male",4
0,"Female",4
1,"Male",3
0,"Female",6
1,"Male",3
0,"Female",5
0,"Female",6
1,"Male",1
1,"Female",1
0,"Male",4
0,"Male",6
0,"Female",1
1,"Female",1
1,"Female",6
0,"Female",2
1,"Female",1
0,"Female",3
1,"Female",2
1,"Female",1
1,"Female",5
0,"Female",1
0,"Female",3
0,"Male",3
1,"Female",2
0,"Female",4
0,"Female",2
1,"Female",1
0,"Male",5
1,"Male",4
0,"Male",6
0,"Male",3
1,"Male",2
0,"Male",4
0,"Female",1
0,"Male",6
1,"Female",4
0,"Female",6
1,"Female",1
0,"Male",3
0,"Male",6
0,"Female",1
0,"Male",3
0,"Male",5
1,"Female",1
1,"Female",1
0,"Female",1
0,"Male",4
0,"Female",4
0,"Female",6
0,"Female",5
1,"Male",4
1,"Male",3
0,"Female",1
1,"Female",3
0,"Female",5
0,"Female",2
0,"Female",3
0,"Female",3
0,"Male",4
0,"Female",2
1,"Male",3
1,"Female",4
0,"Male",3
0,"Female",6
1,"Male",1
0,"Male",3
0,"Female",3
1,"Male",3
1,"Female",1
1,"Male",3
1,"Female",4
1,"Female",1
1,"Female",2
0,"Male",3
0,"Female",6
0,"Male",6
0,"Female",4
0,"Male",4
0,"Male",3
0,"Male",4
1,"Female",1
1,"Male",4
0,"Female",3
1,"Female",1
0,"Female",1
0,"Male",6
0,"Male",3
0,"Female",6
0,"Female",1
0,"Male",5
1,"Female",1
0,"Female",6
0,"Female",1
1,"Female",5
0,"Female",6
0,"Male",5
0,"Female",4
0,"Female",2
1,"Female",2
0,"Female",6
0,"Male",4
1,"Female",1
1,"Female",1
0,"Female",3
0,"Female",6
1,"Female",2
1,"Female",2
0,"Female",5
1,"Female",2
1,"Female",4
1,"Male",1
0,"Female",5
0,"Female",3
1,"Female",3
1,"Male",4
0,"Female",1
0,"Male",4
0,"Male",5
0,"Male",3
0,"Male",5
0,"Male",4
1,"Female",2
0,"Female",2
1,"Male",1
0,"Female",5
1,"Female",5
0,"Female",4
1,"Female",2
0,"Female",6
1,"Male",5
0,"Female",1
1,"Male",4
1,"Male",5
0,"Female",3
1,"Male",6
0,"Female",6
1,"Female",2
1,"Female",2
0,"Male",3
1,"Male",4
1,"Female",2
1,"Female",1
0,"Female",1
0,"Female",1
0,"Female",1
1,"Female",1
0,"Male",5
1,"Female",1
1,"Female",2
1,"Female",1
0,"Female",3
0,"Female",6
1,"Female",2
1,"Female",5
0,"Male",3
1,"Male",3
1,"Female",2
0,"Male",3
1,"Female",4
0,"Male",6
0,"Male",4
1,"Female",1
0,"Male",6
1,"Male",1
0,"Female",1
0,"Male",6
0,"Male",3
0,"Male",6
1,"Male",2
0,"Female",1
0,"Female",5
1,"Female",2
1,"Male",5
0,"Male",4
0,"Female",4
1,"Female",1
0,"Female",1
0,"Male",5
1,"Female",3
0,"Male",6
0,"Male",3
1,"Male",4
1,"Female",1
1,"Female",2
1,"Female",5
0,"Female",4
0,"Female",5
0,"Male",6
0,"Male",3
0,"Female",1
0,"Male",6
0,"Male",6
0,"Male",3
0,"Female",4
0,"Male",5
0,"Male",6
0,"Female",4
0,"Male",4
0,"Female",4
0,"Female",3
0,"Female",4
0,"Male",5
1,"Female",4
1,"Male",5
1,"Female",1
0,"Female",2
0,"Female",3
1,"Female",2
0,"Female",2
0,"Female",6
0,"Female",6
0,"Female",1
0,"Male",6
0,"Male",3
0,"Female",2
0,"Female",1
1,"Male",4
1,"Female",2
0,"Female",6
1,"Male",6
0,"Male",6
0,"Female",1
0,"Female",3
0,"Male",5
1,"Female",4
1,"Female",2
0,"Male",5
0,"Female",6
0,"Female",6
1,"Female",1
0,"Female",4
0,"Female",4
1,"Female",1
0,"Female",4
1,"Male",3
0,"Male",6
0,"Female",6
0,"Female",4
1,"Female",1
0,"Female",4
1,"Female",4
0,"Male",5
0,"Male",5
0,"Female",3
0,"Female",6
1,"Female",1
0,"Male",3
0,"Female",6
0,"Female",6
1,"Male",4
1,"Female",2
1,"Female",4
1,"Male",1
1,"Female",1
1,"Female",3
1,"Female",1
0,"Male",5
0,"Female",1
0,"Male",5
0,"Female",3
0,"Female",1
0,"Male",5
0,"Male",5
0,"Male",3
1,"Female",1
0,"Female",1
0,"Male",4
0,"Female",2
0,"Female",4
0,"Male",6
1,"Female",4
0,"Male",3
0,"Female",2
0,"Male",5
0,"Female",3
0,"Female",1
1,"Male",4
1,"Male",1
1,"Male",3
0,"Female",6
1,"Female",1
0,"Male",5
0,"Male",6
1,"Male",5
0,"Female",2
1,"Male",1
0,"Female",6
0,"Male",5
0,"Male",6
1,"Female",1
0,"Female",6
0,"Female",2
0,"Female",3
0,"Female",3
1,"Female",5
0,"Male",5
1,"Female",4
1,"Female",4
0,"Male",5
0,"Female",1
0,"Female",1
1,"Female",2
1,"Male",4
0,"Male",6
0,"Female",3
0,"Male",3
0,"Male",5
1,"Female",1
0,"Male",6
1,"Male",6
0,"Male",6
0,"Male",3
0,"Female",1
1,"Female",1
1,"Female",1
0,"Female",5
0,"Female",2
0,"Female",6
1,"Female",3
0,"Male",3
0,"Female",5
1,"Male",3
1,"Female",2
0,"Male",4
1,"Male",3
0,"Male",4
0,"Male",5
1,"Female",2
0,"Female",6
1,"Male",3
0,"Male",5
1,"Female",5
0,"Female",1
0,"Male",3
0,"Male",3
0,"Male",3
1,"Female",1
1,"Male",3
0,"Male",3
0,"Female",5
0,"Female",6
0,"Male",3
0,"Male",1
0,"Female",4
1,"Female",1
0,"Male",5
0,"Female",4
0,"Female",5
1,"Female",1
0,"Male",3
0,"Male",4
1,"Male",3
1,"Female",2
1,"Female",3
1,"Female",4
1,"Female",1
0,"Male",4
0,"Male",6
0,"Female",5
0,"Female",6
1,"Female",1
1,"Female",2
0,"Female",4
1,"Male",3
0,"Female",6
0,"Male",6
1,"Male",3
1,"Male",3
0,"Female",3
0,"Female",1
1,"Female",1
0,"Male",6
0,"Female",6
0,"Female",6
1,"Female",1
0,"Female",6
0,"Male",6
0,"Male",5
1,"Male",1
0,"Male",4
1,"Female",1
0,"Male",3
0,"Female",6
0,"Female",6
1,"Female",3
1,"Male",3
1,"Female",2
0,"Male",6
0,"Male",5
0,"Male",6
1,"Female",2
0,"Female",1
1,"Male",3
0,"Male",2
0,"Male",4
0,"Male",4
0,"Male",4
1,"Female",3
1,"Female",1
1,"Female",1
0,"Male",3
1,"Female",1
1,"Male",3
0,"Female",3
0,"Male",6
0,"Male",5
1,"Female",1
1,"Female",5
0,"Female",3
0,"Male",1
0,"Female",3
0,"Male",6
0,"Female",6
1,"Male",3
0,"Female",4
0,"Male",3
0,"Male",3
0,"Female",2
1,"Female",4
1,"Male",1
1,"Female",1
1,"Female",3
0,"Female",4
1,"Female",2
0,"Male",4
0,"Female",5
1,"Female",3
0,"Female",3
1,"Female",1
1,"Female",1
1,"Female",1
1,"Male",3
0,"Female",4
1,"Female",5
1,"Female",2
1,"Female",2
0,"Female",1
1,"Male",4
0,"Female",2
1,"Male",3
0,"Female",6
1,"Female",2
0,"Male",3
0,"Female",3
1,"Female",2
0,"Male",6
1,"Female",2
0,"Male",5
0,"Male",3
1,"Female",2
0,"Female",2
0,"Male",6
1,"Female",4
1,"Female",4
0,"Female",6
0,"Female",2
0,"Male",5
0,"Female",1
1,"Female",1
1,"Male",1
0,"Female",5
0,"Male",3
0,"Female",1
0,"Male",6
0,"Male",3
0,"Male",3
0,"Male",4
0,"Male",4
1,"Male",4
0,"Female",1
1,"Male",5
1,"Male",2
0,"Male",4
0,"Male",3
1,"Female",4
0,"Male",3
1,"Female",4
0,"Male",6
1,"Female",1
1,"Female",1
0,"Female",6
0,"Male",5
1,"Female",1
0,"Female",3
1,"Male",1
0,"Female",6
0,"Male",6
0,"Male",5
1,"Female",4
0,"Male",3
0,"Female",5
0,"Female",2
0,"Male",3
1,"Female",2
1,"Female",1
0,"Female",4
1,"Female",1
1,"Female",2
0,"Female",3
0,"Male",4
0,"Female",3
1,"Male",5
0,"Female",1
1,"Female",1
0,"Female",6
1,"Female",2
1,"Male",5
0,"Female",1
1,"Female",3
0,"Female",4
0,"Male",3
1,"Female",2
1,"Female",2
0,"Female",6
1,"Female",2
0,"Female",1
1,"Female",1
0,"Male",3
1,"Male",5
0,"Female",6
0,"Male",6
0,"Male",5
1,"Female",2
0,"Female",5
1,"Female",4
1,"Female",2
1,"Male",2
0,"Female",6
0,"Male",5
0,"Female",3
0,"Male",5
0,"Female",2
0,"Male",6
0,"Male",4
1,"Female",1
0,"Male",6
0,"Male",3
1,"Female",1
1,"Female",1
0,"Female",4
0,"Female",1
0,"Female",6
0,"Female",2
0,"Female",5
0,"Male",3
1,"Male",4
0,"Female",1
0,"Male",4
1,"Male",3
0,"Female",1
0,"Female",5
1,"Female",2
0,"Male",5
0,"Female",4
1,"Female",4
1,"Male",4
0,"Male",5
0,"Male",5
0,"Female",5
0,"Male",5
0,"Male",3
0,"Female",1
0,"Female",2
1,"Female",2
1,"Female",3
1,"Female",1
0,"Female",2
0,"Female",2
0,"Female",4
1,"Male",6
1,"Female",2
0,"Male",5
0,"Female",2
1,"Female",2
1,"Male",1
1,"Male",4
1,"Male",1
0,"Female",3
1,"Female",1
0,"Male",4
1,"Female",4
0,"Female",4
0,"Female",6
1,"Male",6
1,"Female",2
0,"Female",4
1,"Female",2
0,"Female",6
0,"Female",6
1,"Female",1
1,"Male",5
0,"Female",3
0,"Female",3
1,"Female",4
0,"Male",5
0,"Female",2
1,"Male",3
1,"Female",1
1,"Female",1
0,"Female",3
0,"Male",6
0,"Male",3
1,"Male",5
1,"Female",1
1,"Female",2
0,"Male",2
1,"Female",2
0,"Male",6
0,"Female",6
0,"Male",5
0,"Male",4
0,"Male",3
1,"Male",1
1,"Male",5
0,"Male",3
1,"Female",1
0,"Female",1
0,"Male",1
1,"Male",3
0,"Male",3
1,"Female",1
0,"Male",5
0,"Male",5
0,"Male",3
1,"Female",4
0,"Male",5
0,"Male",6
0,"Male",5
0,"Female",3
0,"Male",3
0,"Male",3
1,"Female",1
0,"Male",4
1,"Female",4
0,"Female",6
1,"Male",1
1,"Male",3
0,"Female",5
1,"Male",3
0,"Female",4
1,"Male",1
0,"Female",1
1,"Female",1
0,"Female",5
0,"Female",2
1,"Female",2
0,"Male",3
0,"Male",3
1,"Female",5
1,"Male",4
1,"Male",6
0,"Male",3
1,"Male",1
1,"Female",1
1,"Female",4
1,"Female",1
0,"Female",1
1,"Female",1
0,"Male",5
1,"Female",1
0,"Female",5
1,"Male",5
0,"Female",2
1,"Male",3
0,"Female",1
1,"Male",1
1,"Female",4
0,"Male",3
1,"Female",3
0,"Female",1
0,"Female",1
1,"Female",5
1,"Female",1
0,"Female",4
1,"Male",4
0,"Female",4
0,"Female",4
0,"Male",5
0,"Female",6
0,"Female",2
0,"Female",6
0,"Female",1
0,"Female",6
1,"Female",1
0,"Female",1
1,"Female",4
0,"Female",5
0,"Female",6
0,"Male",3
1,"Male",3
1,"Female",1
0,"Male",1
0,"Female",5
0,"Male",4
1,"Female",3
1,"Female",1
0,"Male",5
0,"Male",4
0,"Female",1
1,"Male",3
0,"Male",5
0,"Female",3
1,"Male",3
1,"Male",1
1,"Female",1
0,"Male",4
1,"Female",4
1,"Male",2
0,"Female",2
0,"Male",6
0,"Female",2
0,"Male",6
0,"Male",3
0,"Male",3
1,"Female",2
1,"Female",5
0,"Male",6
0,"Male",4
0,"Male",3
0,"Female",6
1,"Male",3
1,"Male",1
0,"Female",6
0,"Female",6
1,"Female",1
1,"Female",2
1,"Female",3
0,"Male",3
0,"Male",6
0,"Female",3
1,"Female",1
1,"Male",6
1,"Male",3
0,"Female",1
0,"Female",4
1,"Male",3
1,"Female",2
1,"Male",3
1,"Male",3
0,"Male",5
0,"Female",6
1,"Female",1
0,"Female",1
1,"Female",4
1,"Female",1
0,"Female",4
0,"Male",4
1,"Female",1
1,"Male",3
0,"Female",3
0,"Male",6
0,"Female",1
0,"Female",6
0,"Female",3
0,"Male",6
0,"Male",3
0,"Male",6
0,"Female",2
1,"Female",3
0,"Male",6
0,"Female",2
0,"Female",5
0,"Female",6
0,"Female",6
0,"Male",3
1,"Male",1
0,"Male",5
0,"Female",1
1,"Female",2
0,"Female",6
1,"Male",3
1,"Female",6
0,"Female",5
0,"Male",6
0,"Male",5
0,"Female",6
0,"Female",4
1,"Female",1
1,"Female",1
0,"Female",2
1,"Female",2
0,"Female",4
0,"Female",4
0,"Female",4
1,"Female",1
1,"Female",2
0,"Female",2
1,"Female",1
0,"Female",4
1,"Female",2
0,"Female",6
0,"Female",1
0,"Female",6
1,"Female",2
0,"Male",3
1,"Female",1
1,"Female",6
0,"Female",4
0,"Male",6
0,"Female",1
0,"Female",1
1,"Female",4
0,"Male",6
1,"Female",1
1,"Male",4
0,"Female",4
0,"Male",4
0,"Female",4
0,"Male",5
0,"Male",3
0,"Male",6
0,"Male",6
1,"Female",1
0,"Male",6
1,"Male",3
0,"Female",5
1,"Female",3
1,"Female",2
0,"Male",3
1,"Female",1
0,"Female",6
1,"Female",2
0,"Female",1
0,"Female",4
1,"Female",1
0,"Female",6
1,"Female",1
1,"Female",4
0,"Male",3
1,"Female",3
0,"Female",4
0,"Female",3
0,"Female",1
0,"Female",6
0,"Male",5
0,"Female",3
0,"Female",3
0,"Female",6
1,"Female",4
1,"Female",2
0,"Female",3
0,"Female",2
1,"Male",5
0,"Male",4
0,"Female",4
0,"Female",2
0,"Female",2
0,"Female",1
0,"Male",5
0,"Male",4
0,"Male",5
0,"Female",3
0,"Male",3
0,"Male",3
0,"Male",5
0,"Male",6
1,"Female",2
0,"Male",4
1,"Female",3
1,"Male",1
0,"Female",6
1,"Male",5
0,"Male",3
1,"Male",5
1,"Male",5
0,"Female",1
1,"Female",2
1,"Male",1
1,"Male",3
0,"Male",3
0,"Female",1
1,"Male",5
1,"Female",2
0,"Male",3
0,"Female",6
1,"Female",2
1,"Female",6
0,"Female",1
0,"Male",4
0,"Female",5
0,"Female",6
0,"Female",6
1,"Female",1
1,"Female",2
0,"Male",6
1,"Female",1
0,"Male",3
1,"Female",2
0,"Female",3
1,"Female",4
0,"Female",4
0,"Female",4
1,"Female",2
1,"Female",3
0,"Male",4
0,"Male",3
0,"Male",6
1,"Female",2
0,"Male",6
0,"Female",1
1,"Female",2
0,"Female",6
1,"Female",2
0,"Male",5
1,"Female",1
0,"Female",4
0,"Female",3
0,"Male",5
0,"Male",4
0,"Female",1
1,"Female",4
1,"Male",5
0,"Female",6
1,"Male",3
0,"Female",3
1,"Female",3
1,"Male",3
0,"Female",5
0,"Male",4
0,"Female",4
0,"Male",4
0,"Female",4
0,"Male",5
0,"Male",4
1,"Female",2
1,"Female",1
1,"Female",1
1,"Male",4
1,"Female",3
1,"Female",1
1,"Female",3
0,"Female",1
1,"Male",2
0,"Female",3
0,"Male",5
0,"Male",3
0,"Female",3
0,"Male",5
0,"Female",4
0,"Male",3
0,"Female",6
1,"Male",4
1,"Male",2
1,"Male",5
0,"Male",3
0,"Male",6
0,"Male",6
1,"Male",4
1,"Female",5
0,"Male",3
0,"Male",3
0,"Female",2
0,"Female",1
0,"Female",4
0,"Female",1
0,"Male",3
1,"Female",2
1,"Male",5
0,"Female",3
0,"Male",6
0,"Male",3
1,"Female",1
0,"Male",6
0,"Female",3
1,"Female",1
0,"Female",4
1,"Male",3
0,"Male",6
1,"Female",3
0,"Female",5
0,"Female",5
0,"Female",6
1,"Female",4
1,"Female",1
0,"Male",3
1,"Female",1
0,"Female",3
0,"Male",1
1,"Female",3
0,"Male",5
1,"Male",3
0,"Female",6
1,"Female",5
0,"Female",4
0,"Male",6
0,"Female",6
0,"Female",3
1,"Male",6
0,"Male",5
0,"Male",3
1,"Female",1
1,"Male",3
0,"Male",5
1,"Female",1
0,"Female",1
1,"Female",4
1,"Male",3
0,"Male",3
0,"Female",6
0,"Male",6
1,"Male",5
0,"Female",1
1,"Female",3
1,"Female",2
0,"Female",4
0,"Male",6
0,"Male",3
1,"Female",1
1,"Female",1
1,"Male",3
1,"Female",2
1,"Female",1
0,"Female",2
0,"Male",6
1,"Female",2
0,"Male",6
0,"Male",5
1,"Female",1
0,"Male",3
0,"Male",3
1,"Male",1
1,"Female",4
0,"Female",5
0,"Female",3
0,"Female",6
0,"Male",3
0,"Male",5
1,"Female",4
0,"Female",3
0,"Male",3
0,"Female",6
1,"Male",4
0,"Female",2
0,"Female",3
0,"Female",4
0,"Female",1
0,"Male",4
0,"Female",4
1,"Female",3
0,"Female",6
0,"Female",1
1,"Female",2
0,"Male",3
0,"Female",3
1,"Female",2
0,"Male",3
1,"Male",1
0,"Male",4
0,"Male",4
1,"Female",1
1,"Female",2
1,"Male",3
0,"Female",1
1,"Female",4
1,"Female",2
1,"Female",4
0,"Male",6
0,"Female",3
0,"Male",6
0,"Female",2
0,"Male",5
0,"Male",5
1,"Female",1
0,"Female",3
0,"Male",3
0,"Female",1
1,"Female",1
0,"Female",6
0,"Female",1
1,"Female",1
1,"Female",2
0,"Female",4
0,"Female",1
1,"Female",4
0,"Male",6
0,"Female",2
0,"Male",6
0,"Female",2
0,"Female",3
0,"Female",6
1,"Female",2
0,"Female",1
1,"Female",1
0,"Female",1
0,"Female",6
0,"Male",4
1,"Female",1
0,"Male",4
0,"Male",4
0,"Male",3
0,"Female",4
1,"Female",5
0,"Female",4
1,"Female",2
0,"Male",5
1,"Female",1
1,"Male",3
0,"Female",2
0,"Male",5
0,"Female",5
0,"Female",4
0,"Male",6
0,"Female",3
0,"Male",5
1,"Female",6
0,"Male",3
0,"Male",5
1,"Female",2
0,"Male",3
0,"Female",3
0,"Female",5
0,"Female",3
0,"Male",6
1,"Female",2
0,"Female",4
0,"Female",4
0,"Male",4
1,"Female",1
0,"Male",6
0,"Female",2
0,"Male",3
0,"Female",3
0,"Female",1
0,"Female",6
0,"Female",2
1,"Male",3
0,"Male",4
0,"Female",6
0,"Female",6
1,"Male",3
1,"Male",3
0,"Female",6
0,"Male",3
1,"Male",3
0,"Male",6
0,"Male",4
1,"Female",1
0,"Female",3
0,"Female",4
0,"Male",3
0,"Male",3
1,"Female",2
1,"Female",3
1,"Male",6
1,"Female",2
1,"Female",2
0,"Male",6
1,"Male",3
1,"Female",2
0,"Female",2
1,"Female",4
0,"Female",5
0,"Male",3
1,"Female",1
1,"Male",3
0,"Male",3
0,"Male",5
0,"Male",5
1,"Male",6
1,"Female",1
1,"Female",2
1,"Male",1
0,"Male",6
0,"Male",5
0,"Female",1
0,"Male",3
1,"Female",4
1,"Female",2
0,"Male",5
1,"Female",1
0,"Male",6
1,"Female",2
1,"Male",4
0,"Female",1
0,"Female",3
1,"Female",2
0,"Female",3
0,"Female",1
1,"Female",1
0,"Male",6
1,"Male",3
0,"Female",2
0,"Male",4
1,"Female",1
1,"Male",1
0,"Female",3
1,"Female",2
1,"Male",3
1,"Female",5
0,"Female",6
1,"Female",4
0,"Female",3
0,"Male",3
1,"Male",1
0,"Female",2
0,"Male",6
1,"Female",1
0,"Male",3
0,"Female",6
0,"Female",1
0,"Female",5
0,"Male",3
0,"Female",1
0,"Female",6
0,"Male",6
0,"Female",3
0,"Male",6
1,"Male",4
0,"Male",3
0,"Female",6
1,"Female",1
0,"Female",4
0,"Male",6
0,"Female",1
1,"Female",1
0,"Female",4
0,"Male",4
1,"Female",2
1,"Male",5
0,"Female",1
1,"Male",3
1,"Female",1
1,"Male",4
1,"Male",4
0,"Female",3
1,"Female",2
0,"Male",5
0,"Male",6
0,"Male",5
0,"Female",1
1,"Male",1
0,"Male",3
0,"Male",4
0,"Male",5
0,"Female",1
0,"Female",2
1,"Male",4
1,"Female",5
1,"Female",2
1,"Female",1
0,"Female",2
0,"Male",5
1,"Male",3
1,"Female",1
1,"Male",4
0,"Female",6
0,"Male",5
1,"Female",5
1,"Female",2
0,"Female",5
1,"Female",1
1,"Female",2
0,"Male",6
1,"Female",1
0,"Male",3
1,"Male",6
1,"Female",4
0,"Female",5
0,"Female",2
0,"Female",3
0,"Male",4
0,"Male",6
1,"Female",1
1,"Male",3
0,"Female",3
0,"Male",5
1,"Female",1
0,"Female",2
0,"Male",6
1,"Male",6
0,"Male",4
1,"Male",3
0,"Female",1
1,"Male",4
0,"Male",4
0,"Female",6
0,"Male",3
0,"Male",6
0,"Female",1
1,"Female",6
1,"Female",1
1,"Male",1
1,"Female",2
0,"Female",1
0,"Female",3
0,"Female",1
0,"Male",4
1,"Male",4
1,"Female",1
0,"Female",5
0,"Female",4
0,"Female",6
0,"Female",6
1,"Female",1
0,"Male",6
0,"Female",6
0,"Female",6
0,"Female",6
1,"Female",2
0,"Female",6
1,"Female",1
0,"Male",5
1,"Female",1
1,"Female",5
1,"Female",1
0,"Female",6
0,"Female",1
0,"Male",4
1,"Female",1
1,"Female",2
1,"Female",2
0,"Female",2
1,"Male",4
1,"Female",1
0,"Male",4
0,"Male",6
1,"Female",4
0,"Male",5
1,"Male",3
0,"Male",6
0,"Female",3
0,"Male",6
0,"Female",6
0,"Male",3
0,"Female",1
0,"Female",6
1,"Female",1
1,"Male",4
1,"Female",1
0,"Female",1
0,"Male",4
0,"Male",5
1,"Male",1
0,"Male",5
0,"Female",3
0,"Male",3
0,"Female",4
0,"Male",5
0,"Male",5
0,"Female",4
1,"Male",3
0,"Male",5
0,"Male",4
